Month,Day,Hour,Count
09,09,14,32
09,09,13,55
09,09,12,67
09,09,11,60
09,09,10,74
09,09,09,45
09,09,08,17
09,09,07,10
09,08,23,3
09,08,22,7
09,08,21,10
09,08,20,11
09,08,19,15
09,08,18,18
09,08,17,22
09,08,16,28
09,08,15,27
09,08,14,19
09,08,13,18
09,08,12,20
09,08,11,16
09,08,10,6
09,07,18,15
09,07,17,6
09,07,16,22
09,07,15,9
09,07,14,9
09,07,13,18
09,07,12,29
09,07,11,29
09,07,10,13
09,06,18,21
09,06,17,15
09,06,16,31
09,06,15,26
09,06,14,48
09,06,13,38
09,06,12,82
09,06,11,62
09,06,10,58
09,06,09,29
09,06,08,20
09,06,07,7
09,05,23,7
09,05,22,9
09,05,21,13
09,05,20,35
09,05,19,11
09,05,18,23
09,05,17,34
09,05,16,36
09,05,15,69
09,05,14,94
09,05,13,79
09,05,12,82
09,05,11,75
09,05,10,74
09,05,09,102
09,05,08,13
09,05,07,41
09,04,23,4
09,04,21,6
09,04,20,15
09,04,19,31
09,04,18,7
09,04,17,13
09,04,16,17
09,04,15,57
09,04,14,50
09,04,13,54
09,04,12,37
09,04,11,69
09,04,10,64
09,04,09,55
09,04,08,19
09,04,07,1
09,03,23,4
09,03,22,1
09,03,21,15
09,03,20,9
09,03,19,17
09,03,18,13
09,03,17,24
09,03,16,23
09,03,15,42
09,03,14,46
09,03,13,42
09,03,12,32
09,03,11,35
09,03,10,26
09,03,09,53
09,03,07,10
09,02,22,2
09,02,21,5
09,02,20,12
09,02,19,19
09,02,18,72
09,02,17,7
09,02,16,35
09,02,15,33
09,02,14,9
09,02,13,72
09,02,12,190
09,02,11,2
09,01,21,16
09,01,20,13
09,01,19,13
09,01,18,19
09,01,17,8
09,01,16,22
09,01,15,18
09,01,14,9
09,01,13,11
09,01,11,6
08,30,17,8
08,30,16,11
08,30,15,5
08,30,14,5
08,30,13,10
08,30,12,5
08,30,11,11
08,30,10,209
08,30,09,86
08,30,08,112
08,30,07,103
08,30,06,107
08,30,05,122
08,30,04,107
08,30,03,93
08,30,02,97
08,30,01,57
08,30,00,62
08,29,23,31
08,29,22,29
08,29,21,55
08,29,16,186
